start_station_name,member_casual,number_of_rides
Western Ave & Winnebago Ave,casual,3362
Damen Ave & Wellington Ave,member,3406
Lincoln Ave & Belle Plaine Ave,member,3424
Aberdeen St & Randolph St,casual,3439
California Ave & Francis Pl,member,3442
Carpenter St & Huron St,casual,3445
LaSalle St & Adams St,member,3452
Rush St & Hubbard St,casual,3467
Benson Ave & Church St,member,3470
Elston Ave & Cortland St,casual,3471
Greenview Ave & Fullerton Ave,casual,3475
Stave St & Armitage Ave,member,3477
Clark St & Leland Ave,casual,3498
LaSalle St & Jackson Blvd,casual,3529
Blackstone Ave & Hyde Park Blvd,member,3534
Racine Ave & Randolph St,member,3535
Albany Ave & Bloomingdale Ave,member,3544
State St & Harrison St,casual,3547
California Ave & Cortez St,member,3565
Bissell St & Armitage Ave*,casual,3572
Humboldt Blvd & Armitage Ave,member,3574
Wabash Ave & Adams St,casual,3632
Woodlawn Ave & 55th St,casual,3634
Leavitt St & Division St,member,3638
Canal St & Monroe St,casual,3670
Michigan Ave & Ida B Wells Dr,member,3670
Clark St & Chicago Ave,casual,3680
Blue Island Ave & 18th St,member,3682
Calumet Ave & 18th St,casual,3693
Dearborn St & Van Buren St,member,3694
Leavitt St & Chicago Ave,member,3695
Wells St & Walton St,casual,3720
Stetson Ave & South Water St,casual,3741
Cannon Dr & Fullerton Ave,casual,3750
Noble St & Milwaukee Ave,member,3768
Damen Ave & Grand Ave,member,3774
Franklin St & Chicago Ave,casual,3781
Ashland Ave & Grand Ave,member,3789
Aberdeen St & Jackson Blvd,casual,3795
University Ave & 59th St,member,3803
Artesian Ave & Hubbard St,member,3821
Ashland Ave & Lake St,member,3828
Racine Ave & Washington Blvd,member,3834
Sheffield Ave & Kingsbury St,casual,3844
Milwaukee Ave & Wabansia Ave,casual,3865
Clarendon Ave & Junior Ter,casual,3870
Sheridan Rd & Noyes St (NU),member,3885
Sedgwick St & Huron St,casual,3886
Honore St & Division St,casual,3922
Burling St & Diversey Pkwy,casual,3929
Ashland Ave & Wrightwood Ave,member,3935
Spaulding Ave & Armitage Ave,member,3959
Racine Ave & Fullerton Ave,casual,3976
Southport Ave & Belmont Ave,casual,3980
Clark St & 9th St (AMLI),member,3982
Racine Ave & 18th St,member,3982
Peoria St & Jackson Blvd,casual,4026
Western Ave & Division St,member,4033
Southport Ave & Wrightwood Ave,casual,4043
Damen Ave & Charleston St,member,4087
Broadway & Wilson Ave,casual,4097
Seeley Ave & Roscoe St,member,4099
Clarendon Ave & Leland Ave,member,4124
Michigan Ave & Ida B Wells Dr,casual,4125
Wolcott (Ravenswood) Ave & Montrose Ave,member,4128
Clark St & Berwyn Ave,casual,4142
Broadway & Ridge Ave,member,4179
Lincoln Ave & Sunnyside Ave,member,4180
Clinton St & Tilden St,member,4192
Lakefront Trail & Wilson Ave,member,4194
Campbell Ave & North Ave,member,4196
Logan Blvd & Elston Ave,member,4196
Damen Ave & Cortland St,casual,4233
LaSalle Dr & Huron St,casual,4239
Wood St & Milwaukee Ave,casual,4240
Marine Dr & Ainslie St,member,4244
Canal St & Taylor St,member,4246
Dayton St & North Ave,casual,4249
Michigan Ave & 14th St,casual,4287
N Green St & W Lake St,member,4304
Ritchie Ct & Banks St,casual,4320
Clarendon Ave & Gordon Ter,casual,4327
Ravenswood Ave & Irving Park Rd,member,4349
Indiana Ave & 31st St,member,4354
Michigan Ave & Madison St,casual,4364
Ogden Ave & Chicago Ave,casual,4365
Western Ave & Fillmore St,member,4366
Western Ave & Walton St,member,4423
Mies van der Rohe Way & Chicago Ave,casual,4425
Burnham Harbor,casual,4459
Broadway & Granville Ave,member,4472
Delano Ct & Roosevelt Rd,member,4480
Woodlawn Ave & 58th St,member,4505
Buckingham Fountain,casual,4509
Broadway & Thorndale Ave,member,4522
Franklin St & Lake St,casual,4522
Ellis Ave & 53rd St,member,4531
Greenview Ave & Diversey Pkwy,member,4539
Sheridan Rd & Montrose Ave,casual,4553
Franklin St & Illinois St,casual,4560
Paulina St & Montrose Ave,member,4565
Lincoln Ave & Diversey Pkwy,casual,4567
Larrabee St & Menomonee St,member,4569
Ashland Ave & Chicago Ave,member,4596
Leavitt St & Armitage Ave,member,4618
Leavitt St & North Ave,member,4637
Paulina Ave & North Ave,member,4658
Orleans St & Elm St,member,4699
Rush St & Superior St,casual,4715
Sheridan Rd & Lawrence Ave,member,4719
Kingsbury St & Erie St,casual,4720
Lakefront Trail & Wilson Ave,casual,4732
Winthrop Ave & Lawrence Ave,member,4746
Damen Ave & Leland Ave,member,4748
McClurg Ct & Erie St,casual,4786
Larrabee St & Kingsbury St,casual,4796
California Ave & Milwaukee Ave,casual,4812
Calumet Ave & 18th St,member,4825
Clinton St & Lake St,casual,4831
Clinton St & Roosevelt Rd,member,4832
Southport Ave & Wellington Ave,casual,4851
Lake Park Ave & 53rd St,member,4863
Kimbark Ave & 53rd St,casual,4866
Loomis St & Jackson Blvd,member,4873
Green St & Randolph St*,member,4889
Wabash Ave & 9th St,casual,4892
Wells St & Institute Pl,member,4896
Ada St & Washington Blvd,member,4918
Fairbanks St & Superior St,member,4924
Walsh Park,member,4926
Shields Ave & 31st St,member,4937
Elizabeth St & Fulton St,member,4953
Sedgwick St & Webster Ave,casual,4958
Michigan Ave & Pearson St,casual,4966
Emerald Ave & 31st St,member,4968
Green St & Washington Blvd,member,5000
Clybourn Ave & Division St,member,5003
Wood St & Augusta Blvd,member,5012
Broadway & Sheridan Rd,casual,5025
Sheridan Rd & Argyle St,member,5065
Clark St & North Ave,casual,5071
Kedzie Ave & Milwaukee Ave,casual,5113
McCormick Place,casual,5118
Shore Dr & 55th St,casual,5138
State St & Harrison St,member,5157
Pine Grove Ave & Irving Park Rd,casual,5167
Sedgwick St & North Ave,casual,5174
Clark St & Montrose Ave,member,5178
Racine Ave & Belmont Ave,casual,5188
Adler Planetarium,member,5196
Sangamon St & Washington Blvd,member,5204
Canal St & Madison St,casual,5207
Canal St & Adams St,casual,5212
Wood St & Taylor St (Temp),member,5225
Ashland Ave & Grace St,member,5237
Cornell Ave & Hyde Park Blvd,member,5247
Field Blvd & South Water St,casual,5252
Shedd Aquarium,member,5267
Clark St & Lake St,casual,5276
Clark St & Winnemac Ave,casual,5286
Milwaukee Ave & Grand Ave,casual,5289
Hermitage Ave & Polk St,member,5293
Larrabee St & North Ave,member,5318
State St & Kinzie St,casual,5323
Clinton St & Jackson Blvd,casual,5342
Halsted St & Dickens Ave,casual,5352
Dearborn St & Monroe St,casual,5387
Ravenswood Ave & Lawrence Ave,casual,5390
Green St & Madison St,casual,5392
Ellis Ave & 55th St,casual,5409
Rush St & Cedar St,casual,5413
Federal St & Polk St,casual,5415
Michigan Ave & Pearson St,member,5438
Ashland Ave & Wellington Ave,member,5443
Broadway & Berwyn Ave,member,5443
Franklin St & Jackson Blvd,casual,5451
Ashland Ave & Blackhawk St,member,5489
Broadway & Belmont Ave,casual,5514
Clark St & Wellington Ave,casual,5523
Sheffield Ave & Wellington Ave,casual,5524
Lincoln Ave & Roscoe St*,member,5531
Racine Ave & Wrightwood Ave,member,5543
Southport Ave & Clybourn Ave,member,5545
Western Ave & Leland Ave,member,5554
State St & 35th St,member,5557
Ashland Ave & Augusta Blvd,member,5588
Michigan Ave & Jackson Blvd,member,5618
Sheridan Rd & Irving Park Rd,casual,5638
Wilton Ave & Diversey Pkwy,casual,5646
State St & Van Buren St,member,5651
Daley Center Plaza,casual,5662
Orleans St & Merchandise Mart Plaza,casual,5708
Damen Ave & Division St,member,5713
Burnham Harbor,member,5729
Damen Ave & Thomas St (Augusta Blvd),member,5760
Michigan Ave & Madison St,member,5787
Larrabee St & Armitage Ave,member,5795
Lakefront Trail & Bryn Mawr Ave,casual,5806
Throop St & Taylor St,member,5812
Southport Ave & Irving Park Rd,member,5831
Clark St & Schiller St,casual,5881
Clark St & Grace St,casual,5910
Cityfront Plaza Dr & Pioneer Ct,casual,5935
St. Clair St & Erie St,casual,5939
Lincoln Park Conservatory,member,5947
Lincoln Ave & Melrose St,member,5948
Wood St & Chicago Ave,member,5951
Mies van der Rohe Way & Chestnut St,casual,5964
Michigan Ave & 18th St,member,5977
Clark St & Bryn Mawr Ave,member,6064
Halsted St & Fulton St,casual,6071
Eckhart Park,member,6083
Clark St & Ida B Wells Dr,member,6090
LaSalle St & Washington St,member,6110
Sheffield Ave & Webster Ave,casual,6153
Wabash Ave & Wacker Pl,casual,6165
Wabash Ave & 16th St,member,6177
Clinton St & Madison St,casual,6186
Broadway & Argyle St,member,6223
Orleans St & Chestnut St (NEXT Apts),member,6241
Stockton Dr & Wrightwood Ave,casual,6250
Orleans St & Hubbard St,member,6259
Clinton St & Washington Blvd,casual,6277
Southport Ave & Waveland Ave,casual,6313
Ogden Ave & Race Ave,member,6340
State St & Randolph St,casual,6369
Blackstone Ave & 59th St,member,6374
Dusable Harbor,member,6380
Shore Dr & 55th St,member,6391
Broadway & Waveland Ave,casual,6443
Halsted St & Clybourn Ave,casual,6462
University Ave & 57th St,casual,6499
Damen Ave & Pierce Ave,casual,6500
Dearborn St & Adams St,member,6562
Lakefront Trail & Bryn Mawr Ave,member,6575
Sheffield Ave & Willow St,member,6582
Desplaines St & Randolph St,member,6644
Fairbanks Ct & Grand Ave,casual,6647
Pine Grove Ave & Waveland Ave,casual,6661
Western Ave & Winnebago Ave,member,6689
Dearborn Pkwy & Delaware Pl,casual,6694
Clark St & Randolph St,member,6740
Jefferson St & Monroe St,member,6741
Wabash Ave & Roosevelt Rd,casual,6742
Ellis Ave & 58th St,member,6786
Clark St & Drummond Pl,casual,6794
Southport Ave & Roscoe St,casual,6823
Halsted St & Wrightwood Ave,casual,6826
State St & Chicago Ave,casual,6829
Ritchie Ct & Banks St,member,6840
Michigan Ave & Jackson Blvd,casual,6858
Wabash Ave & Wacker Pl,member,6859
Michigan Ave & 8th St,member,6874
Clark St & Leland Ave,member,6876
Wabash Ave & Adams St,member,6882
Sheffield Ave & Wrightwood Ave,casual,6886
State St & Pearson St,member,6888
Ellis Ave & 60th St,casual,6916
Ashland Ave & Division St,casual,6952
Morgan St & Lake St*,member,6952
Field Blvd & South Water St,member,6967
Halsted St & Roosevelt Rd,member,6975
Damen Ave & Cortland St,member,6985
Elizabeth St & Randolph St,member,6988
Paulina St & Flournoy St,member,6992
Elston Ave & Cortland St,member,7012
Lake Park Ave & 56th St,member,7016
Rush St & Hubbard St,member,7020
Wells St & Polk St,member,7038
Halsted St & Willow St,member,7063
Stetson Ave & South Water St,member,7088
Wolcott Ave & Polk St,member,7112
Clark St & North Ave,member,7114
Damen Ave & Chicago Ave,member,7207
Columbus Dr & Randolph St,casual,7210
Racine Ave & Congress Pkwy,member,7216
Desplaines St & Kinzie St,casual,7241
Cityfront Plaza Dr & Pioneer Ct,member,7266
Clark St & Grace St,member,7272
Lincoln Ave & Fullerton Ave,casual,7292
Franklin St & Adams St (Temp),member,7332
Carpenter St & Huron St,member,7333
Kedzie Ave & Milwaukee Ave,member,7350
Larrabee St & Oak St,member,7422
California Ave & Milwaukee Ave,member,7448
Halsted St & Roscoe St,casual,7455
Broadway & Cornelia Ave,casual,7470
Larrabee St & Division St,member,7487
Aberdeen St & Randolph St,member,7497
Greenview Ave & Fullerton Ave,member,7497
Aberdeen St & Monroe St,member,7503
Clifton Ave & Armitage Ave,member,7520
Lincoln Park Conservatory,casual,7545
Wells St & Hubbard St,casual,7549
LaSalle Dr & Huron St,member,7568
Dearborn St & Erie St,casual,7598
Wacker Dr & Washington St,member,7650
Woodlawn Ave & 55th St,member,7658
Wells St & Evergreen Ave,casual,7692
Wells St & Huron St,casual,7712
Southport Ave & Wrightwood Ave,member,7719
Clarendon Ave & Junior Ter,member,7734
Halsted St & Maxwell St,member,7745
Bissell St & Armitage Ave*,member,7801
Clark St & Berwyn Ave,member,7806
Lakeview Ave & Fullerton Pkwy,casual,7826
DuSable Lake Shore Dr & Wellington Ave,casual,7846
Financial Pl & Ida B Wells Dr,member,7846
Mies van der Rohe Way & Chestnut St,member,7877
Clark St & Chicago Ave,member,7950
Clark St & Wrightwood Ave,casual,7954
Larrabee St & Webster Ave,casual,7963
Wells St & Walton St,member,8006
Sheridan Rd & Buena Ave,member,8007
Broadway & Wilson Ave,member,8012
Sheffield Ave & Waveland Ave,casual,8079
Sheffield Ave & Fullerton Ave,casual,8167
Racine Ave & Belmont Ave,member,8200
Field Museum,casual,8252
Southport Ave & Belmont Ave,member,8283
Rhodes Ave & 32nd St,member,8318
Sangamon St & Lake St,member,8359
Montrose Harbor,member,8396
Michigan Ave & 14th St,member,8415
Dayton St & North Ave,member,8435
Michigan Ave & Lake St,casual,8613
Milwaukee Ave & Wabansia Ave,member,8651
Lincoln Ave & Diversey Pkwy,member,8731
Wabash Ave & 9th St,member,8740
Ogden Ave & Chicago Ave,member,8744
McClurg Ct & Ohio St,casual,8783
Kingsbury St & Kinzie St,casual,8786
DuSable Lake Shore Dr & Belmont Ave,casual,8791
Honore St & Division St,member,8793
Broadway & Barry Ave,casual,8840
Southport Ave & Wellington Ave,member,8880
LaSalle St & Illinois St,casual,9024
Wood St & Milwaukee Ave,member,9056
Clark St & Newport St,casual,9085
DuSable Lake Shore Dr & Diversey Pkwy,casual,9165
Franklin St & Chicago Ave,member,9174
900 W Harrison St,member,9250
New St & Illinois St,casual,9288
Mies van der Rohe Way & Chicago Ave,member,9378
Sedgwick St & North Ave,member,9460
Burling St & Diversey Pkwy,member,9480
Michigan Ave & Washington St,casual,9558
Franklin St & Illinois St,member,9607
Canal St & Jackson Blvd,member,9615
Sedgwick St & Webster Ave,member,9641
Halsted St & Dickens Ave,member,9705
State St & Kinzie St,member,9785
Stockton Dr & Wrightwood Ave,member,9851
Wabash Ave & Grand Ave,casual,9938
Sheffield Ave & Kingsbury St,member,9958
Wilton Ave & Belmont Ave,casual,9999
DuSable Lake Shore Dr & Wellington Ave,member,10018
Wells St & Elm St,casual,10030
Rush St & Superior St,member,10042
Millennium Park,member,10058
Clark St & Winnemac Ave,member,10264
Rush St & Cedar St,member,10297
Milwaukee Ave & Grand Ave,member,10319
State St & Randolph St,member,10323
Desplaines St & Jackson Blvd,member,10331
DuSable Lake Shore Dr & Monroe St,member,10398
Clark St & Wellington Ave,member,10472
Broadway & Belmont Ave,member,10477
Sheffield Ave & Wrightwood Ave,member,10549
Fairbanks Ct & Grand Ave,member,10625
May St & Taylor St,member,10690
Clark St & Lincoln Ave,casual,10711
Clark St & Elm St,casual,10729
Clarendon Ave & Gordon Ter,member,10756
Sheridan Rd & Montrose Ave,member,10774
McClurg Ct & Erie St,member,10806
Broadway & Sheridan Rd,member,10813
Clark St & Armitage Ave,casual,10872
Sheffield Ave & Wellington Ave,member,10917
Wilton Ave & Diversey Pkwy,member,11065
Kimbark Ave & 53rd St,member,11124
Franklin St & Jackson Blvd,member,11248
Pine Grove Ave & Irving Park Rd,member,11257
Wells St & Evergreen Ave,member,11262
Racine Ave & Fullerton Ave,member,11305
DuSable Lake Shore Dr & Belmont Ave,member,11352
Sheffield Ave & Webster Ave,member,11361
Aberdeen St & Jackson Blvd,member,11392
Michigan Ave & 8th St,casual,11430
New St & Illinois St,member,11498
Wells St & Concord Ln,casual,11630
Sedgwick St & Huron St,member,11662
Lakeview Ave & Fullerton Pkwy,member,11700
Sheffield Ave & Waveland Ave,member,11740
Canal St & Monroe St,member,11811
Clark St & Lake St,member,11834
Franklin St & Lake St,member,11851
Southport Ave & Roscoe St,member,11888
Halsted St & Wrightwood Ave,member,11937
Clark St & Newport St,member,11946
Indiana Ave & Roosevelt Rd,casual,12140
Federal St & Polk St,member,12156
Larrabee St & Webster Ave,member,12163
Halsted St & Roscoe St,member,12218
Halsted St & Fulton St,member,12384
Montrose Harbor,casual,12401
Franklin St & Monroe St,member,12407
Calumet Ave & 33rd St,member,12454
Clark St & Schiller St,member,12528
Columbus Dr & Randolph St,member,12576
McClurg Ct & Ohio St,member,12583
LaSalle St & Jackson Blvd,member,12595
Michigan Ave & Lake St,member,12623
DuSable Lake Shore Dr & Diversey Pkwy,member,12676
Sheridan Rd & Irving Park Rd,member,12827
Adler Planetarium,casual,12835
Damen Ave & Pierce Ave,member,12915
Southport Ave & Waveland Ave,member,13198
Peoria St & Jackson Blvd,member,13204
Ravenswood Ave & Lawrence Ave,member,13386
Clinton St & Lake St,member,13394
Michigan Ave & Washington St,member,13456
LaSalle St & Illinois St,member,13546
Clark St & Drummond Pl,member,13582
Broadway & Cornelia Ave,member,13616
Theater on the Lake,member,13626
Orleans St & Merchandise Mart Plaza,member,13731
Daley Center Plaza,member,13831
Wabash Ave & Roosevelt Rd,member,13862
Dearborn St & Monroe St,member,13906
Ellis Ave & 55th St,member,13916
Green St & Madison St,member,14013
Pine Grove Ave & Waveland Ave,member,14073
Halsted St & Polk St,member,14136
Lincoln Ave & Fullerton Ave,member,14158
St. Clair St & Erie St,member,14164
Clark St & Wrightwood Ave,member,14324
Indiana Ave & Roosevelt Rd,member,14513
Clark St & Lincoln Ave,member,14514
Halsted St & Clybourn Ave,member,14532
Dearborn Pkwy & Delaware Pl,member,14616
MLK Jr Dr & 29th St,member,14619
Michigan Ave & Oak St,member,14648
Canal St & Madison St,member,14908
Clark St & Armitage Ave,member,14920
Ashland Ave & Division St,member,14936
Broadway & Waveland Ave,member,15150
Wabash Ave & Grand Ave,member,15366
DuSable Lake Shore Dr & North Blvd,member,15811
Kingsbury St & Erie St,member,15856
Desplaines St & Kinzie St,member,15955
Ellis Ave & 60th St,member,16119
Wells St & Hubbard St,member,16124
State St & 33rd St,member,16321
Dusable Harbor,casual,16363
Theater on the Lake,casual,16372
Morgan St & Polk St,member,16562
Wilton Ave & Belmont Ave,member,16650
Sheffield Ave & Fullerton Ave,member,16670
Wells St & Huron St,member,16746
Streeter Dr & Grand Ave,member,16940
Canal St & Adams St,member,17256
Loomis St & Lexington St,member,17319
Larrabee St & Kingsbury St,member,17359
Dearborn St & Erie St,member,17453
State St & Chicago Ave,member,17523
Clinton St & Jackson Blvd,member,18020
Broadway & Barry Ave,member,18586
Shedd Aquarium,casual,18818
University Ave & 57th St,member,19351
Millennium Park,casual,20104
Wells St & Elm St,member,20720
DuSable Lake Shore Dr & North Blvd,casual,20801
Wells St & Concord Ln,member,21053
Clinton St & Madison St,member,22377
Michigan Ave & Oak St,casual,23086
Clark St & Elm St,member,24963
Kingsbury St & Kinzie St,member,26760
Clinton St & Washington Blvd,member,27872
DuSable Lake Shore Dr & Monroe St,casual,31510
Streeter Dr & Grand Ave,casual,47271
